S.no,Question,Answer
,,"No, the CSC Shubhlabh Plan does not offer any liquidity during the first five years. You cannot withdraw or surrender your investment"
1,Can I withdraw money from the CSC Shubhlabh Plan within the first five years?,completely or partially during this period.
2,What is the IndiaFirst CSC Shubhlabh Plan?,It is a low premium insurance CSC Shubhlabh Plan that helps you build savings while providing life cover.
3,How does this CSC Shubhlabh Plan help with saving for the future ?,It helps you build a corpus through regular interest additions and ensures you are protected against life's unexpected turns.
4,What is the minimum floor rate guaranteed by the CSC Shubhlabh Plan?,The CSC Shubhlabh Plan guarantees a minimum floor rate of 1.0% per annum on the account value during the CSC Shubhlabh Plan term.
5,What modes of premium payment are available in CSC Shubhlabh Plan?,"You can pay your premium monthly, half-yearly, or yearly."
6,How long do I need to pay premiums for this CSC Shubhlabh Plan?,You can choose to pay premiums for either 10 or 15 years.
7,What happens if the life assured passes away during the CSC Shubhlabh Plan term?,A lump sum death benefit is paid to the nominee.
8,Can I enroll in this CSC Shubhlabh Plan easily?,"Yes, you can enjoy hassle-free enrollment by providing your name and Aadhar number."
9,Does the CSC Shubhlabh Plan provide any protection for my family?,"Yes, the CSC Shubhlabh Plan provides a lump sum death benefit to the nominee in case of the life assured's untimely demise."
10,Is there flexibility in premium payments in CSC Shubhlabh Plan?,"Yes, you can choose to pay premiums as per your convenience during the year."
11,Why should I save for the future in CSC Shubhlabh Plan?,Saving helps you achieve your financial goals and provides a cushion against emergencies.
12,What are the benefits of saving systematically in CSC Shubhlabh Plan?,It helps in building a corpus systematically and ensures consistent growth over time.
13,What is the purpose of the IndiaFirst CSC Shubhlabh Plan?,To help you build savings conveniently while providing life cover and ensuring financial security for your family.
14,Is this CSC Shubhlabh Plan suitable for someone looking for long-term savings?,"Yes, it is ideal for long-term savings with the flexibility to pay premiums for 10 or 15 years."
15,Can I change my premium payment mode later in CSC Shubhlabh Plan?,"The CSC Shubhlabh Plan generally allows flexibility, but you should check specific terms and conditions for changes."
16,How is the account value of the CSC Shubhlabh Plan managed?,The account value grows through guaranteed interest additions during the CSC Shubhlabh Plan term.
17,What is a corpus in the context of this CSC Shubhlabh Plan?,A corpus refers to the total savings accumulated in your account over time.
18,Is there any life cover provided in this CSC Shubhlabh Plan?,"Yes, the CSC Shubhlabh Plan includes a life cover that pays out a death benefit in case of the life assured's demise."
19,How can I secure my family’s future with this CSC Shubhlabh Plan?,"By building savings and ensuring a death benefit payout, you secure your family's financial future."
20,What documents do I need to enroll in this CSC Shubhlabh Plan?,You need to provide your name and Aadhar number for enrollment.
,,"On maturity, you receive a lump sum amount that is the higher of the total premiums paid (including top-ups and less any partial"
21,What do you receive at the end of the CSC Shubhlabh Plan term?,"withdrawals) compounded at 1% per annum, or the accumulated account value."
,,"The maturity amount is calculated as the higher of the total premiums paid (including top-ups) compounded at 1% per annum, or the"
22,How is the maturity amount calculated in CSC Shubhlabh Plan?,accumulated account value.
23,How will the maturity amount be paid in CSC Shubhlabh Plan?,The maturity amount will be paid through a bank account using NEFT or RTGS.
,,"If the life assured dies while the CSC Shubhlabh Plan is active with life cover, a lump sum amount is paid to the nominee, appointee, or legal"
,,"heir. This amount is the higher of the sum assured, 105% of total premiums paid (including top-ups), total premiums paid compounded at"
24,What happens if the life assured dies while theCSC Shubhlabh Plan is in force with life cover?,"1% per annum, or the account value."
,,"If the life assured dies while the CSC Shubhlabh Plan is in paid-up status, a lump sum amount equal to the higher of the paid-up sum"
25,What happens if the life assured dies while the CSC Shubhlabh Plan is in paid-up status?,"assured or the accumulated account value is paid to the nominee, appointee, or legal heir."
26,What is the Premium Allocation Charge in the first year in CSC Shubhlabh Plan?,The Premium Allocation Charge in the first year is 20% of the annualized premium.
27,Is there a Premium Allocation Charge for Top-Up premiums in CSC Shubhlabh Plan?,"No, there is no allocation charge on Top-Up premiums."
28,What is the Fund Management Charge under the CSC Shubhlabh Plan?,The Fund Management Charge is not applicable.
29,What is the Mortality Charge under the CSC Shubhlabh Plan?,"The Mortality Charge is expressed in rupees per 1000 sum at risk, and it is guaranteed throughout the term."
30,Is there a Discontinuance Charge?,"No, there is no Discontinuance Charge."
31,Who bears the service tax under the CSC Shubhlabh Plan?,The service tax will be borne by the policyholder.
,,"Yes, you can cancel your CSC Shubhlabh Plan during the free look period, which is within the first 15 days from receiving your CSC"
32,Can you cancel your CSC Shubhlabh Plan during the free look period?,Shubhlabh Plan details.
33,What refund do you get if you cancel yourCSC Shubhlabh Planduring the free look period?,"You will receive a refund of the premium paid minus pro-rata mortality charge, medical fees (if any), and any stamp duty paid."
,What is the death benefit if the life assured commits suicide within 12 months from the CSC Shubhlabh Plan,
34,commencement?,"The death benefit payable will be limited to 80% of the total premiums paid, including any top-up premiums paid."
,,"If the life assured commits suicide within one year of reinstatement, the higher of 80% of total premiums paid or the account value will be"
35,What happens if the life assured commits suicide within one year of reinstatement?,paid.
,,"Section 41 prohibits offering or accepting rebates of commission or premium, except as allowed by the insurer’s published prospectuses or"
36,"What does Section 41 of the Insurance Act, 1938 prohibit?",tables.
,,Section 45 allows a policy to be called into question within three years from the policy issuance on grounds of fraud or misstatement. After
37,What are the consequences of making false or incorrect submissions according to Section 45?,"three years, the policy cannot be called into question except for fraud."
38,What is the shareholding pattern of IndiaFirst Life Insurance as of the latest update?,"The shareholding pattern is Bank of Baroda – 65%, Union Bank of India – 9%, and Carmel Point Investments India Private Limited – 26%."
,,"Exclusions include suicide, war, terrorism, criminal activity, poison, service in armed forces, participation in dangerous activities, and"
39,What exclusions apply to Accidental Death Benefit?,nuclear contamination.
What happens if I want to completely withdraw myWealth Maximizer Plan during the lock-in period?,"If you choose to completely withdraw during the lock-in period, the fund value, after deducting discontinuance charges, will be credited to the DiscontinuedWealth Maximizer Plan Fund. The proceeds of the Discontinued Fund will be paid to you at the end of the lock-in period or at the end of the revival period, whichever is later."
What are the requirements to revive a discontinuedWealth Maximizer Plan after the lock-in period?,"To revive a discontinuedWealth Maximizer Plan after the lock-in period, you must submit a written request within the three-year revival period, pay all due premiums without interest or late fees, submit a declaration of good health, and undergo a medical examination if required. The fund value will be used to purchase units at the NAV on the date of revival."
What happens if I do not revive myWealth Maximizer Plan during the revival period after the lock-in period?,"If theWealth Maximizer Plan is not revived during the revival period after the lock-in period, theWealth Maximizer Plan will continue in reduced paid-up status. At the end of the revival period, the fund value will be paid to you, and theWealth Maximizer Plan will be terminated."
Can I surrender myWealth Maximizer Plan after the lock-in period?,"Yes, you can surrender yourWealth Maximizer Plan after the lock-in period. The proceeds of theWealth Maximizer Plan will be paid to you upon surrender, and theWealth Maximizer Plan will be terminated."
What happens to the risk cover when I revive myWealth Maximizer Plan?,"Upon revival of theWealth Maximizer Plan, the full risk cover will be restored according to theWealth Maximizer Plan terms and conditions. All due and unpaid premiums, without interest or late fees, along with the Premium Allocation Charge, will be collected. The balance amount will be invested in the chosen Fund to purchase units at the NAV on the date of revival."
Can I revive myWealth Maximizer Plan after opting for complete withdrawal?,"No, if you exercise the option of complete withdrawal from theWealth Maximizer Plan, theWealth Maximizer Plan will be terminated after paying the fund value, and it cannot be revived thereafter."
Can I cancel (free-look) myWealth Maximizer Plan if I'm not satisfied with the terms?,"Yes, you can return yourWealth Maximizer Plan within the free-look period if you do not agree with the terms and conditions. You must return theWealth Maximizer Plan within 15 days from the date of receipt. For policies purchased through distance marketing or electronic mode, the free-look period is 30 days."
Will I get a refund if I cancel myWealth Maximizer Plan during the free-look period?,"Yes, you will receive a refund equal to the non-allocated premium, charges levied by cancellation of units, and the fund value on the date of cancellation, less any pro-rata mortality charge, stamp duty paid, and medical examination expenses, if any. The refund amount will be adjusted based on the fund's performance between the date of receipt of the premium and the date of cancellation."
"What is considered ""distance marketing"" in relation to myWealth Maximizer Plan?","Distance marketing includes solicitation and sale of insurance products through modes such as telephone calls, SMS, email, internet, interactive television (DTH), direct postal mail, newspaper & magazine inserts, and any communication method other than in-person."
Are there any risks associated with myWealth Maximizer Plan?,"Yes, yourWealth Maximizer Plan carries risks. The premiums and investments are subject to market risks, and the NAVs of the units may fluctuate based on market performance. IndiaFirst Life Insurance does not guarantee the fund value or the NAV. The funds do not offer a guaranteed or assured return, and the past performance of any fund is not indicative of its future performance."
Do any of the funds in myWealth Maximizer Plan offer guaranteed returns?,"No, none of the funds offer a guaranteed or assured return. The names of the funds do not indicate the quality, future prospects, or returns of the funds in any manner."
Does the past performance of the funds guarantee their future performance?,"No, the past performance of the funds does not necessarily indicate their future performance."
What happens if the life assured commits suicide within 12 months of theWealth Maximizer Plan commencement or revival?,"If the life assured commits suicide within 12 months from theWealth Maximizer Plan commencement or revival date, the nominee, appointee, or legal heir will be entitled to the fund value available on the date of intimation of death. Additionally, any charges other than Fund Management Charges recovered after the date of death will be added back to the fund value as available on the date of death intimation."
What is the minimum withdrawal amount for partial withdrawals?,"10,000 INR"
What is the maximum percentage of the fund value that can be withdrawn at a time for regular/limited premium policies?,25%
What is the minimum balance required after a partial withdrawal for regular/limited premium policies?,110% of the annual premium
What is the minimum fund value required after a partial withdrawal for single premium policies?,"100,000 INR"
What is the minimum systematic partial withdrawal amount allowed?,"1,000 INR"
What is the maximum percentage allowed for systematic partial withdrawal per annum?,25%
At what growth rate is the fund expected to grow for the viability condition of systematic partial withdrawal?,4%
What is the minimum top-up premium amount allowed?,"10,000 INR"
What is the maximum top-up premium amount allowed?,Total of all premiums paid at the time of top-up
What percentage of equity can the Equity1 Fund invest in?,80% to 100%
What percentage of debt can the Debt1 Fund invest in?,70% to 100%
What percentage of the Balanced1 Fund is allocated to the money market?,0% to 20%
What is the minimum age at entry for the policy?,5 years
What is the maximum age at entry for a 5-year Premium Payment Term (PPT)?,55 years
What is the maximum age at entry for a 10-year Premium Payment Term (PPT)?,65 years
What is the maximum age at entry for a Single/Regular Premium policy?,65 years
What is the minimum age at maturity for the policy?,18 years
What is the maximum age at maturity for a 5-year PPT policy?,70 years
What is the maximum age at maturity for a 10/15/20-year PPT policy?,90 years
What is the maximum age at maturity for a Single/Regular Premium policy?,90 years
What is the policy term for a Single Pay option?,5 years
What is the policy term for Regular/Limited Pay options?,10 to 85 years
What is the premium payment term for a 5-year policy term?,5 years
What is the premium payment term for a 10-year policy term?,10 years
What is the maximum entry age for a policy with a 5-year premium payment term?,55 years
What is the minimum premium for a monthly Regular/Limited Premium payment?,"INR 20,833"
What is the minimum premium for a yearly Regular/Limited Premium payment?,"INR 2,50,000"
What is the minimum single premium that can be paid?,"INR 5,00,000"
What is the trigger rate for the Automatic Trigger Based Investment Strategy (ATBIS)?,10%
What percentage of the Equity1 Fund is transferred to the Debt1 Fund when the trigger rate is met?,100% of appreciation
How often are units transferred from the chosen debt fund to the equity fund in the Fund Transfer Strategy?,Monthly
How many policy months does it take to transfer the full amount in the Fund Transfer Strategy?,12 months
What percentage of the portfolio is allocated to Equity1 Fund for ages 5-25 under the Age Based Investment Strategy?,40%
What percentage of the portfolio is allocated to Debt1 Fund for ages 26-35 under the Age Based Investment Strategy?,40%
What percentage of the portfolio is allocated to Value Fund for ages 36-45 under the Age Based Investment Strategy?,20%
What is the minimum percentage allocation to Equity1 Fund for ages 71-90 under the Age Based Investment Strategy?,5%
What is the maximum percentage allocation to Debt1 Fund for ages 71-90 under the Age Based Investment Strategy?,90%
What percentage of daily fund value is added as a Loyalty Benefit for Regular/Limited Premium policies from the end of the 6th policy year?0.35%,
What percentage of daily fund value is added as a Profit Booster every 5th year starting from the end of the 10th policy year?,1%
"What percentage of daily fund value is added as a Loyalty Advantage for premiums of INR 1,000,000 and above from the 11th policy year onwards?0.80%",
For what age group is 30% allocated to the Value Fund under the Age Based Investment Strategy?,5-25 years
What is the fund value Mr. Agrawal will receive at the end of the plan term at 8%?,"INR 2,49,27,563"
What is the fund value Mr. Agrawal will receive at the end of the plan term at 4%?,"INR 47,23,919"
How many years did Mr. Agrawal choose for the policy term?,40 years
How much did Mr. Agrawal pay in premiums over the policy term?,"INR 25,00,000"
What is the minimum premium that qualifies for a Profit Booster at the end of every 5th policy year?,"INR 2,50,000"
At what policy year does the Profit Booster start?,10th policy year
At what age does the percentage allocation to Equity1 Fund drop to 25% under the Age Based Investment Strategy?,46 years
Question,Answer
What is the guaranteed assured benefit on maturity in INSURANCE KHATA?,The guaranteed assured benefit is a fixed amount paid at the end of the policy term based on the premium paid and policy terms.
How does the policy support individuals with irregular incomes?,"The policy allows flexible premium payments, meaning you can pay premiums based on your income and financial situation."
"What is the significance of the ""Pay as You Go"" in INSURANCE KHATA ?","The ""Pay as You Go"" option allows you to increase your coverage over time by adding policies as your income permits, without losing coverage if you miss payments."
,False or incorrect information may lead to policy repudiation. Ensure all details are accurate to avoid issues. The insurer can call the policy in question within three years on grounds of fraud or
What should you do if you submit false or incorrect information on INSURANCE KHATA policy?,misstatement.
How is the maturity payout managed in the Insurance Khata?,Maturity payouts are processed at the end of the policy term and are based on the guaranteed assured benefit outlined in each policy.
,In case of survival of the life assured till the end of the
,"policy term, the policyholder stands to receive"
,"Guaranteed assured benefit on maturity, which is"
What do you receive at the end of the,"X% of Single Premium paid, excluding applicable"
policy INSURANCE KHATA term (maturity benefit)?,"tax; if any and extra premium if any, at maturity"
,"Yes, while we do not encourage you to surrender your policy, you may choose to surrender the same for immediate cash requirement, in case of an emergency. You can surrender the policy any"
,"time during the policy term after payment of premium. The policy pays a surrender value, if the policy holder surrenders the policy any time during the policy term after acquiring paid up value."
,The policy will acquire
,paid-up value immediately after issuance. The amount payable on surrender will be higher of Guaranteed Surrender Value (GSV) or Special Surrender Value (SSV). The GSV factors are dependent
,"upon policy year of surrender and policy term. The GSV factors will be applicable on total premium paid excluding applicable tax, if any, extra premium and rider premium, if any. (Refer Annexure"
,I for the GSV factor table). The SSV will be SSV factor multiplied by the paid-up value. The GSV factors can be referred to on our website www.indiafirstlife.com. The SSV factors will be
. Can you surrender your policy INSURANCE KHATA?,determined from time to time by the company subject to IRDAI approval.
,The IndiaFirst Life “INSURANCE KHATA” Plan (Micro-Insurance Product) is designed to help you overcome any
,constraints thatmaybepreventingyoufromfinanciallysecuringyourfamily.Theuniquebenefitsofthispolicyare:
,• You can open your own Insurance Khata
,"• Pay as much as you want or can, as per your cash flow"
,"• Pay whenever you can, as per your convenience by buying a new policy"
,• Receive your guaranteed assured benefit on maturity based on your schedule of policy purchases
,• Keep enhancing your Insurance cover by adding to your Khata through a series of Single Premium policies
,• You do not lose anything if you do not make any additional payment
,• Your policy never lapses
,• Your Sum Assured would reduce on each return of guaranteed assured benefit on maturity for the Policy/Plan
How can you make use of this policy INSURANCE KHATA?,accordingly to the maturity/tenor of the Policy / Plan
,Allowed as per the provisions of Section 39 of the
,"Insurance Act, 1938 as amended from time to time."
,"For more details on the nomination, please refer to"
what are the nominations in INSURANCE KHATA,our website www.indiafirstlife.com
,"Headquartered in Mumbai, IndiaFirst Life"
,"Insurance Company Limited (IndiaFirst Life), with a"
,"paid-up share capital of INR 754.37 crore, was"
,incorporated in the year 2008. As one of the
,"fastest growing private life insurers in the country,"
,IndiaFirst Life has two public-sector banks as
,"shareholders, Bank of Baroda (65% stake) and"
,Union Bank of India (9% stake) whose footprint
,and experience continue to fortify the value
,proposition it offers to all stakeholders. Carmel
,Point Investments India Private Limited promoted
About IndiaFirst Life Insurance,"by Carmel Point Investment Ltd, also holds 26%"
Company Limited (IndiaFirst Life),stake in IndiaFirst Life
How much is the sum assured payable in case of death in INSURANCE KHATA?,"The sum assured payable in case of death is Rs. 2,55,000."
,"The unique benefits of buying this insurance product include no regular commitment of premium payment, the ability to buy it on the go at any time, and the option to buy multiple policies to"
What are the unique benefits of buying this insurance product?,"increase life cover. Additionally, in case of death, the policy will pay a guaranteed assured benefit on maturity as scheduled in year 2026, 2027, and 2029."
How does the policy address financial security in case of the policyholder's death?,"In case of death, the policy provides a sum assured based on the total coverage from all active policies in the Insurance Khata."
What flexibility does the Insurance Khata offer in terms of premium payments?,"The policy allows for flexible premium payments, meaning you can pay as much as you can, when you can, without affecting the coverage."
What is the minimum age for starting a policy in the Insurance Khata?,"Policies can be started from age 27, as shown in the illustrations."
How does the policy cater to individuals with varying financial capacities?,"The policy accommodates varying financial capacities by allowing different premium amounts and payment schedules, adapting to the policyholder’s financial situation."
What happens if the policyholder survives the policy term?,"If the policyholder survives the policy term, they receive the guaranteed assured benefit on maturity according to the terms of the policies they hold."
What is the policyholder’s responsibility regarding premium payments?,The policyholder should ensure premiums are paid as per their convenience and within the policy terms to maintain coverage and benefit from the policy.
How are benefits calculated if a policyholder has multiple policies?,Benefits are calculated based on the sum assured from each policy and the maturity benefits of all active policies in the Khata.
How is the total sum assured determined for a policyholder like Rohit in Illustration 3?,The total sum assured is the cumulative amount payable in case of death from all policies in the Insurance Khata at the time of the event.
Can the INSURANCE KHATA policy be updated or modified after purchase?,"Yes, the policy can be updated by adding new policies or adjusting the premium payments as needed."
What should be done if a policyholder wants to change the beneficiary of the INSURANCE KHATA policy?,The policyholder should follow the procedure outlined in Section 39 of the Insurance Act for nomination and update the beneficiary details accordingly.
,"Section 41 of the Insurance Act, 1938 as amended"
,from time to time states.
,"1) No person shall allow or offer to allow, either"
,"directly or indirectly, as an inducement to any"
,"person, to take or renew or continue an insurance"
,in respect of any kind of risk relating to lives or
,"property in India, any rebate of the whole or part"
,of the commission payable or any rebate of the
,"premium shown on the Policy, nor shall any"
,person taking out or renewing or continuing a
,"Policy accept any rebate, except such rebate as"
,may be allowed in accordance with the published
,prospectuses or tables of the insurer.
,2) Any person making default in complying with the
,provisions of this section shall be liable for a
what are the prohibition of Rebate in INSURANCE KHATA ?,penalty which may extend to ten lakh rupees.
,"Fraud/ misstatement would be dealt with in accordance with the provisions of Sec 45 of the Insurance Act 1938, as amended from time to time. According to Sec 45, no policy of life insurance"
What happens if there is submission of false or incorrect information?,"shall be called in question on any ground whatsoever after the expiry of three years from the date of the policy, i.e., from the date of issuance or commencement of risk."
What is the primary purpose of the Insurance Khata policy?,To provide financial security for the policyholder's family in case of death or upon maturity.
Is the Insurance Khata policy available for everyone?,"Yes, it is available to individuals seeking micro-insurance coverage."
What does the policy offer in case of the policyholder's death?,It provides a sum assured based on the total coverage from all active policies in the Khata.
Can the policyholder take a loan against this policy?,"No, the policy does not offer a loan facility."
What happens if the policyholder commits suicide within 12 months?,"The nominee receives 80% of the total premiums paid or the surrender value, whichever is higher."
How flexible is the premium payment for the Insurance Khata?,Premiums can be paid as per the policyholder's convenience and financial capacity.
What is the minimum age for starting the Insurance Khata policy?,The minimum age is 27.
What is the maximum age for starting the Insurance Khata policy?,There is no specific maximum age mentioned.
What is the policy term for the Insurance Khata policy?,The policy term varies and can be chosen based on the individual’s needs.
What is the sum assured in case of death for the policyholder?,The sum assured is based on the total coverage from all active policies in the Khata.
How does the policyholder benefit from multiple policies in the Khata?,Each additional policy increases the overall coverage and maturity benefits.
Can the policyholder modify the policy after purchase?,"Yes, the policyholder can add new policies or adjust premium payments."
How are maturity benefits calculated?,Maturity benefits are calculated based on the terms of each policy and the guaranteed assured benefit.
What happens if the policyholder misses a premium payment?,"The policy will not lapse, and coverage continues based on the terms of the existing policies."
Can premiums be paid in installments?,"Yes, premiums can be paid as per the policyholder’s convenience."
How does the policy handle missed payments?,"The policy does not lapse due to missed payments, and coverage remains intact."
What is the maximum number of policies a policyholder can have in the Khata?,There is no specified maximum; it depends on the policyholder’s needs and financial capacity.
What happens if the policyholder survives the entire policy term?,The policyholder receives the guaranteed assured benefit on maturity from their policies.
Can the policyholder add new policies to their Insurance Khata?,"Yes, additional policies can be added to enhance coverage."
What is the impact of adding new policies on the sum assured?,The sum assured increases with each new policy added.
How does the policy ensure coverage continuity?,"The policy remains in force regardless of missed payments, with continued coverage."
What benefits are provided at policy maturity?,Guaranteed assured benefit based on the policy terms.
Are there penalties for missing premium payments?,There are no penalties; the policy remains valid.
How often can the policyholder add new policies?,The policyholder can add new policies at any time.
What happens to the policy if the policyholder does not make additional payments?,"The policy does not lapse, and coverage continues based on existing policies."
What is the policyholder’s responsibility regarding premium payments?,To pay premiums as per their convenience and ability.
Can the policyholder reduce the premium amount?,"Yes, the policyholder can adjust premium payments based on their financial situation."
What is the minimum premium amount for the policy?,The minimum premium amount is not specified but varies with each policy.
How does the policy handle accidental deaths?,Provides the sum assured based on the total coverage from all active policies.
Can the policyholder surrender the policy early?,"Yes, the policyholder can surrender the policy and receive the surrender value."
What is the surrender value of the policy?,The surrender value is based on premiums paid and policy terms.
How can the policyholder check their policy status?,The policyholder can check their policy status through the insurance company’s website or customer service.
Are there any tax benefits associated with this policy?,Tax benefits may apply as per applicable laws; consult with a tax advisor for details.
Can the policyholder transfer the policy to someone else?,Policy transfer is allowed according to Section 38 of the Insurance Act.
What is the process for policy assignment?,"Policy assignment is allowed as per Section 38 of the Insurance Act, details available on the insurer’s website."
Can the policyholder update their contact details?,"Yes, the policyholder can update contact details through the insurer’s customer service."
How does the policy handle fraud or misstatement of information?,Fraud or misstatement is dealt with according to Section 45 of the Insurance Act.
What is the policyholder’s responsibility in case of fraud?,The onus of disproving fraud lies with the beneficiaries if the policyholder is not alive.
Can the policyholder make changes to the sum assured?,"Yes, changes can be made by adding new policies or modifying existing ones."
What is the maximum sum assured available?,The maximum sum assured depends on the total coverage from all active policies in the Khata.
How does the policy accommodate changes in financial status?,The policy allows flexible premium payments and addition of new policies.
What documentation is required to purchase the policy?,"Required documentation includes identity proof, address proof, and completed application form."
How can the policyholder check their maturity benefit?,Maturity benefits can be checked through the insurance company’s website or customer service.
Can the policyholder withdraw from the policy?,The policyholder can surrender the policy but cannot withdraw partial amounts.
What is the process for filing a claim?,Claims are filed by submitting necessary documents to the insurance company.
Are there any exclusions in the policy?,Exclusions include suicide within the first 12 months and fraud.
How is the policy different from other life insurance products?,The Insurance Khata offers flexible premium payments and multiple policies under one Khata.
What are the key benefits of the Insurance Khata policy?,"Key benefits include flexible premiums, enhanced coverage, and guaranteed maturity benefits."
How often are maturity benefits paid?,Maturity benefits are paid at the end of each policy term.
Can the policyholder receive a policy statement?,"Yes, policy statements can be received through the insurance company’s website or customer service."
What is the policyholder’s role in ensuring the policy remains active?,The policyholder needs to make timely premium payments and can add new policies.
Can the policyholder receive benefits if they survive the policy term?,"Yes, guaranteed assured benefits are provided upon policy maturity."
How is the guaranteed assured benefit calculated?,It is based on the premiums paid and the terms of each policy in the Khata.
Can the policyholder transfer ownership of the policy?,"Yes, policy transfer is allowed as per Section 38 of the Insurance Act."
How can the policyholder get information about policy benefits?,Information can be obtained through the insurer’s website or customer service.
What happens if the policyholder becomes disabled?,"The policy remains in force, and benefits are provided as per the policy terms."
Can the policyholder change the beneficiaries of the policy?,"Yes, beneficiaries can be changed according to the insurer’s process."
Are there any restrictions on the number of policies in the Khata?,"No, there are no specific restrictions; it depends on the policyholder’s needs."
What happens if the policyholder does not make any premium payments?,"The policy remains valid, and coverage continues based on existing policies."
How does the policy accommodate changes in the policyholder’s family?,New policies can be added to cover additional family members.
Can the policyholder get a refund if they cancel the policy early?,Refunds are provided based on the surrender value of the policy.
What is the minimum policy term available?,The minimum policy term is 5 years.
How is the policy’s performance tracked?,Performance is tracked through the insurer’s customer service and policy statements.
Can the policyholder receive partial benefits before policy maturity?,Partial benefits are not provided; benefits are paid at maturity or in case of death.
How does the policy handle changes in premium amounts?,Premium amounts can be adjusted based on the policyholder’s financial situation.
What happens if the policyholder’s address changes?,The policyholder should update their address with the insurer to ensure accurate communication.
Can the policyholder access policy details online?,"Yes, policy details can be accessed through the insurer’s website."
How is the total sum assured determined?,The total sum assured is based on the coverage from all active policies in the Khata.
Can the policyholder have multiple Insurance Khata policies?,"Yes, multiple policies can be held within the Khata for increased coverage."
What is the policyholder’s responsibility in the event of a claim?,Submit required documents and follow the insurer’s claim process.
How are premium payments recorded?,Premium payments are recorded by the insurer and reflected in the policyholder’s account.
Can the policyholder make changes to the policy terms?,Changes to policy terms are subject to the insurer’s regulations.
What is the process for updating beneficiary details?,Beneficiary details can be updated through the insurer’s customer service.
Can the policyholder receive benefits if they are diagnosed with a terminal illness?,"Benefits are provided as per the policy terms, generally upon death or maturity."
What are the benefits of adding new policies to the Khata?,Increased coverage and enhanced maturity benefits.
Can the policyholder get a duplicate policy document if lost?,"Yes, a duplicate policy document can be obtained from the insurer."
What is the role of the insurance agent in managing the policy?,"The agent assists with policy management, claims, and information updates."
How does the policy handle policyholder disputes?,Disputes are handled as per the insurer’s grievance redressal process.
Can the policyholder change the policy term?,Policy terms are set at purchase and cannot be changed; new policies may be added.
What are the available payment methods for premiums?,"Premiums can be paid via bank transfer, cheque, or online payment methods."
What is the procedure for policy renewal?,"The policy is renewed based on terms and conditions, and new policies can be added."
Can the policyholder add riders to their policy?,Riders are not mentioned; the policy focuses on multiple policies under the Khata.
How is the maturity benefit paid?,Maturity benefits are paid at the end of each policy term.
What is the minimum premium amount for each policy?,The minimum premium varies per policy; specific amounts are provided in policy details.
Can the policyholder split premium payments across different months?,"Yes, premiums can be paid in installments as per the policyholder’s choice."
How does the policyholder receive policy updates?,"Policy updates are communicated via email, postal mail, or through the insurer’s website."
Can the policyholder opt for electronic policy statements?,"Yes, electronic policy statements are available through the insurer’s website."
What is the process for policy cancellation?,Cancellation involves submitting a request to the insurer and receiving the surrender value.
How does the policy handle changes in premium payment frequency?,Premium payment frequency can be adjusted based on policyholder’s preference.
What benefits are provided if the policyholder dies after the policy matures?,"Benefits are provided based on policy terms; typically, no additional benefits are provided."
How are claims processed?,Claims are processed by submitting necessary documents to the insurance company.
Can the policyholder make changes to the sum assured amount?,Sum assured changes can be made by adding new policies or adjusting existing ones.
What is the procedure for policy assignment?,Policy assignment is done as per Section 38 of the Insurance Act.
How does the policy accommodate changes in the policyholder’s health status?,Coverage remains based on existing policies; new policies can be added.
Can the policyholder change their contact details?,"Yes, contact details can be updated with the insurer."
How is the policy’s maturity benefit different from other policies?,The maturity benefit is based on cumulative coverage from all policies in the Khata.
What happens if the policyholder misses multiple premium payments?,Coverage continues based on existing policies; missed payments do not lapse the policy.
Can the policyholder receive benefits if they are hospitalized?,"Benefits are typically provided upon death or maturity, not for hospitalization."
How does the policyholder handle disputes with the insurer?,Disputes are handled through the insurer’s grievance redressal mechanism.
Can the policyholder get assistance with policy management?,Assistance is available through the insurer’s customer service and agents.
What is the min/max premium amount for a 5-year policy term?,"Min: Rs. 200, Max: Rs. 40,000"
"What is the guaranteed assured benefit on maturity for a 10-year policy term with a single premium of Rs. 10,000?","Rs. 10,000 (100% of single premium)"
"What is the total sum assured if I buy three policies with sum assured of Rs. 50,000, Rs. 75,000, and Rs. 1,00,000 respectively?","Rs. 2,25,000"
"What is the percentage increase in sum assured if I buy a new policy with a sum assured of Rs. 1,50,000 compared to my existing policy with a sum assured of Rs. 1,00,000?",50%
How many policies can I buy under this plan to maximize my insurance cover?,"No limit, but max sum assured per policy is Rs. 2,00,000"
What is the minimum guaranteed assured benefit on maturity for a 5-year policy term?,"Rs. 2,000"
What is the maximum sum assured for a single policy?,"Rs. 2,00,000"
What is the percentage of total premiums paid that will be refunded in case of suicide within 12 months from policy commencement?,80%
How many days do I have to return my policy under the Free Look Cancellation?,15 days (30 days for distance marketing)
What is the maximum age for entry for a 10-year policy term?,40 years
Qno,Qusetion,Answer
,,"This a Non-Linked, Non-Participating, Individual,Single Premium Savings, Life Insurance Plan thatprovides life insurance cover during the entireGuaranteed Single Premium Plan"
,,term. The plan requires a single premium payment by the customer prior toGuaranteed Single Premium Plan inception and gives the benefit of financial protection along with
,,savings in a singleGuaranteed Single Premium Plan. ThisGuaranteed Single Premium Plan will financially protect your
1,What is the IndiaFirst Life Guaranteed Single Premium Plan?,"loved ones through a life insurance coverin case of an unfortunate event, while providing a guaranteed lumpsum benefit at the end of theGuaranteed Single Premium Planterm."
